,책이름,저자,출판사,초판일,가격,할인율,평점(10점 만점)
0,혼자 공부하는 파이썬,윤인성,한빛미디어,2019.06.10,"16,200원",[10%할인],9.6
1,비전공자를 위한 이해할 수 있는 IT 지식,최원영,티더블유아이지,2020.07.14,"15,120원",[10%할인],8.5
2,대규모 서비스를 지탱하는 기술(웹 개발자를 위한),이토 나오야,제이펍,2011.02.28,"22,500원",[10%할인],10.0
3,2022 시나공 총정리 컴퓨터활용능력 1급 필기,길벗R&D,길벗,2021.08.02,"18,000원",[10%할인],8.3
4,클린 아키텍처(만들면서 배우는)(위키북스 IT Leaders 시리즈 34),톰 홈버그,위키북스,2021.11.26,"16,200원",[10%할인],0.0
5,회사에서 바로 통하는 실무 엑셀+파워포인트+워드&한글,전미진,한빛미디어,2020.04.10,"19,800원",[10%할인],9.5
6,"2022 시나공 컴퓨터활용능력 1급 실기 엑셀, 엑세스 2016",길벗R&D,길벗,2021.10.04,"32,400원",[10%할인],10.0
7,Do it! 점프 투 파이썬,박응용,이지스퍼블리싱,2019.06.20,"16,920원",[10%할인],9.3
8,혼자 공부하는 머신러닝+딥러닝,박해선,한빛미디어,2020.12.21,"23,400원",[10%할인],9.7
9,전산세무 2급 이론+실기+최신기출(2021)(해커스)(개정판),이남호,해커스금융,2021.04.02,"23,310원",[10%할인],8.5
10,전산회계 1급 이론+실기+기출문제(2021)(해커스)(개정판),이남호,해커스금융,2021.01.18,"23,310원",[10%할인],8.7
11,함께 자라기,김창준,인사이트,2018.11.30,"11,700원",[10%할인],9.7
12,2022 시나공 컴퓨터활용능력 2급 실기 엑셀2016,길벗R&D,길벗,2021.10.04,"19,800원",[10%할인],10.0
13,2022 시나공 정보처리기사 필기(전2권),길벗R&D,길벗,2021.10.25,"29,700원",[10%할인],10.0
14,2022 빅데이터 분석 기사 실기 필답형+작업형,양지언,프리렉,2021.11.19,"25,200원",[10%할인],9.2
15,Clean Code(클린 코드),로버트 C. 마틴,인사이트,2013.12.24,"29,700원",[10%할인],9.8
16,Do it! HTML+CSS+자바스크립트 웹 표준의 정석,고경희,이지스퍼블리싱,2021.01.22,"27,000원",[10%할인],9.9
17,2022 시나공 총정리 컴퓨터활용능력 2급 필기,길벗R&D,길벗,2021.08.02,"12,600원",[10%할인],5.8
18,이것이 취업을 위한 코딩 테스트다 with 파이썬,나동빈,한빛미디어,2020.08.05,"30,600원",[10%할인],9.7
19,Do it! BERT와 GPT로 배우는 자연어 처리,이기창,이지스퍼블리싱,2021.12.01,"18,000원",[10%할인],0.0
