,company,title,duty,career,degree,work_place,work_type,due_date
0,㈜비상교육,12월 각 부문별 경력 및 신입 채용,동영상제작·편집웹프로그래머응용프로그래머시스템프로그래머 외,신입·경력,학력무관,"서울, 경기",정규직,~12/25(토)
1,㈜한익스프레스,2022년도 경력 및 신입사원 공개모집,웹마케팅기획·전략·경영경리·회계·결산해외영업·무역영업 외,신입·경력,대졸↑,"서울, 경기, 인천 외",정규직,~12/15(수)
2,동아출판㈜,2021년 하반기 신입(인턴) 및 경력사원 모집,웹기획·PM웹마케팅웹디자인동영상제작·편집 외,인턴·신입·경력,초대졸↑,서울,"정규직, 계약직 외",~12/12(일)
3,한미헬스케어㈜,2021년 12월 수시채용,응용프로그래머시스템프로그래머컨텐츠·사이트운영DBA·데이터베이스 외,신입·경력,초대졸↑,"서울, 경기, 인천",정규직,~12/19(일)
4,Naver I&S㈜,Naver I&S㈜ 및 자회사 각 부문 신입/경력 수시 채용,웹디자인웹프로그래머HTML·퍼블리싱·UI개발경리·회계·결산 외,신입·경력,학력무관,"경기, 인천, 강원",정규직,채용 시 마감
5,㈜우아한형제들,각 부문별 경력/신입 인재영입,응용프로그래머빅데이터·AI(인공지능)웹프로그래머시스템프로그래머 외,신입·경력,학력무관,서울,"정규직, 계약직",~05/18(수)
6,㈜아이비케이시스템,IBK시스템 직원 모집,웹프로그래머응용프로그래머시스템프로그래머DBA·데이터베이스 외,신입·경력,학력무관,"서울, 경기, 인천",정규직,~12/15(수)
7,로젠㈜,22년도 로젠㈜ 상반기 공개채용,응용프로그래머웹프로그래머DBA·데이터베이스웹기획·PM 외,신입·경력,고졸↑,"서울, 경기, 대전 외",정규직,오늘마감
8,SPC삼립,각 부문 신입/경력직 모집 (IR/마케팅/연구/영업/SCM/공무/품질관리),웹기획·PM웹마케팅컨텐츠·사이트운영사무·총무·법무 외,신입·경력,학력무관,"서울, 경기, 인천 외",정규직,~12/06(월)
9,KBS미디어㈜,KBS미디어 공개채용,웹기획·PM웹마케팅컨텐츠·사이트운영동영상제작·편집 외,신입·경력,학력무관,서울,계약직,~12/08(수)
